,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
120009,124154,Jacques,1,1,Ἰάκωβος,Ἰάκωβος,G2385,42
120010,124155,Jacques,1,1,θεοῦ,θεός,G2316,1311
120011,124156,Jacques,1,1,καὶ,καί,G2532,9108
120012,124157,Jacques,1,1,κυρίου,κύριος,G2962,716
120013,124158,Jacques,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
120014,124159,Jacques,1,1,Χριστοῦ,Χριστός,G5547,529
120015,124160,Jacques,1,1,δοῦλος,δοῦλος,G1401,129
120016,124161,Jacques,1,1,ταῖς,ὁ,G3588,19785
120017,124162,Jacques,1,1,δώδεκα,δώδεκα,G1427,74
120018,124163,Jacques,1,1,φυλαῖς,φυλή,G5443,31
120019,124164,Jacques,1,1,ταῖς,ὁ,G3588,19785
120020,124165,Jacques,1,1,ἐν,ἐν,G1722,2728
120021,124166,Jacques,1,1,τῆ,ὁ,G3588,19785
120022,124167,Jacques,1,1,διασπορᾷ,διασπορά,G1290,3
120023,124168,Jacques,1,1,χαίρειν,χαίρω,G5463,74
120024,124169,Jacques,1,2,Πᾶσαν,πᾶς,G3956,1236
120025,124170,Jacques,1,2,χαρὰν,χαρά,G5479,59
120026,124171,Jacques,1,2,ἡγήσασθε,ἡγέομαι,G2233,28
120027,124172,Jacques,1,2,ἀδελφοί,ἀδελφός,G0080,343
120028,124173,Jacques,1,2,μου,ἐγώ,G1473,2462
120029,124174,Jacques,1,2,ὅταν,ὅταν,G3752,122
120030,124175,Jacques,1,2,πειρασμοῖς,πειρασμός,G3986,21
120031,124176,Jacques,1,2,περιπέσητε,περιπίπτω,G4045,3
120032,124177,Jacques,1,2,ποικίλοις,ποικίλος,G4164,10
120033,124178,Jacques,1,3,γινώσκοντες,γινώσκω,G1097,218
120034,124179,Jacques,1,3,ὅτι,ὅτι,G3754,1291
120035,124180,Jacques,1,3,τὸ,ὁ,G3588,19785
120036,124181,Jacques,1,3,δοκίμιον,δοκίμιον,G1383,2
120037,124182,Jacques,1,3,ὑμῶν,σύ,G4771,2896
120038,124183,Jacques,1,3,τῆς,ὁ,G3588,19785
120039,124184,Jacques,1,3,πίστεως,πίστις,G4102,242
120040,124185,Jacques,1,3,κατεργάζεται,κατεργάζομαι,G2716,22
120041,124186,Jacques,1,3,ὑπομονήν,ὑπομονή,G5281,32
120042,124187,Jacques,1,4,ἡ,ὁ,G3588,19785
120043,124188,Jacques,1,4,δὲ,δέ,G1161,2771
120044,124189,Jacques,1,4,ὑπομονὴ,ὑπομονή,G5281,32
120045,124190,Jacques,1,4,ἔργον,ἔργον,G2041,169
120046,124191,Jacques,1,4,τέλειον,τέλειος,G5046,19
120047,124192,Jacques,1,4,ἐχέτω,ἔχω,G2192,706
120048,124193,Jacques,1,4,ἵνα,ἵνα,G2443,668
